Validator,PT_VERSION,2.5.1
Validator,ROCM_VERSION,6.3.1.0-40-ce2be3b
Validator,HIPBLASLT_VERSION,1000-b4e5042b
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmTunableOp_Half_TN,tn_37888_144_3584,Gemm_Hipblaslt_TN_88196,0.260282
GemmTunableOp_Half_TN,tn_3584_88_3584,Gemm_Hipblaslt_TN_71899,0.0256917
GemmTunableOp_Half_TN,tn_3584_144_18944,Gemm_Hipblaslt_TN_72122,0.102344
GemmTunableOp_Half_TN,tn_3584_200_3584,Gemm_Rocblas_621282647,0.0410479
GemmTunableOp_Half_TN,tn_3584_128_18944,Gemm_Hipblaslt_TN_72046,0.0884964
GemmTunableOp_Half_TN,tn_3584_64_3584,Gemm_Rocblas_621288818,0.0207813
GemmTunableOp_Half_TN,tn_3584_16_18944,Gemm_Hipblaslt_TN_74643,0.0436485
GemmTunableOp_Half_TN,tn_3584_248_18944,Gemm_Hipblaslt_TN_72369,0.151217
GemmTunableOp_Half_TN,tn_3584_168_18944,Gemm_Hipblaslt_TN_72488,0.121755
GemmTunableOp_Half_TN,tn_3584_216_18944,Gemm_Hipblaslt_TN_72277,0.140305
GemmTunableOp_Half_TN,tn_3584_112_3584,Gemm_Rocblas_621282641,0.0287543
GemmTunableOp_Half_TN,tn_3584_8_18944,Gemm_Hipblaslt_TN_74643,0.0436493
GemmTunableOp_Half_TN,tn_3584_192_3584,Gemm_Hipblaslt_TN_73879,0.0345568
GemmTunableOp_Half_TN,tn_37888_120_3584,Gemm_Hipblaslt_TN_88096,0.228809
GemmTunableOp_Half_TN,tn_4608_80_3584,Gemm_Hipblaslt_TN_74520,0.026011
GemmTunableOp_Half_TN,tn_4608_224_3584,Gemm_Hipblaslt_TN_107336,0.0508768
GemmTunableOp_Half_TN,tn_37888_56_3584,Gemm_Rocblas_621288842,0.14233
GemmTunableOp_Half_TN,tn_37888_40_3584,Gemm_Hipblaslt_TN_74812,0.130452
GemmTunableOp_Half_TN,tn_37888_88_3584,Gemm_Hipblaslt_TN_72198,0.187016
GemmTunableOp_Half_TN,tn_37888_216_3584,Gemm_Hipblaslt_TN_88233,0.333233
GemmTunableOp_Half_TN,tn_37888_176_3584,Gemm_Hipblaslt_TN_72539,0.287644
GemmTunableOp_Half_TN,tn_37888_16_3584,Gemm_Rocblas_621282565,0.0831954
GemmTunableOp_Half_TN,tn_4608_192_3584,Gemm_Hipblaslt_TN_71916,0.0396863
GemmTunableOp_Half_TN,tn_3584_112_18944,Gemm_Hipblaslt_TN_72046,0.0887187
GemmTunableOp_Half_TN,tn_3584_224_3584,Gemm_Rocblas_621282647,0.0408328
GemmTunableOp_Half_TN,tn_3584_136_18944,Gemm_Hipblaslt_TN_72122,0.10016
GemmTunableOp_Half_TN,tn_3584_80_18944,Gemm_Hipblaslt_TN_85427,0.0779974
GemmTunableOp_Half_TN,tn_37888_128_3584,Gemm_Rocblas_621282819,0.227101
GemmTunableOp_Half_TN,tn_3584_152_3584,Gemm_Rocblas_621289097,0.033873
GemmTunableOp_Half_TN,tn_3584_184_18944,Gemm_Hipblaslt_TN_72195,0.121409
GemmTunableOp_Half_TN,tn_3584_160_18944,Gemm_Hipblaslt_TN_72122,0.101658
GemmTunableOp_Half_TN,tn_3584_208_3584,Gemm_Rocblas_621288856,0.0408725
GemmTunableOp_Half_TN,tn_3584_232_3584,Gemm_Rocblas_621282647,0.040824
GemmTunableOp_Half_TN,tn_4608_256_3584,Gemm_Rocblas_621282951,0.0506837
GemmTunableOp_Half_TN,tn_3584_32_3584,Gemm_Rocblas_621288715,0.0151779
GemmTunableOp_Half_TN,tn_3584_248_3584,Gemm_Rocblas_621288856,0.0408737
GemmTunableOp_Half_TN,tn_3584_40_18944,Gemm_Hipblaslt_TN_74656,0.0566024
GemmTunableOp_Half_TN,tn_4608_131072_3584,Gemm_Rocblas_621282559,16.4549
GemmTunableOp_Half_TN,tn_152064_128_3584,Gemm_Rocblas_621282701,0.915312
GemmTunableOp_Half_TN,tn_3584_208_18944,Gemm_Hipblaslt_TN_74087,0.139348
GemmTunableOp_Half_TN,tn_3584_24_3584,Gemm_Rocblas_621288715,0.0152925
GemmTunableOp_Half_TN,tn_37888_208_3584,Gemm_Hipblaslt_TN_88233,0.325369
GemmTunableOp_Half_TN,tn_37888_256_3584,Gemm_Hipblaslt_TN_74844,0.350606
GemmTunableOp_Half_TN,tn_3584_48_3584,Gemm_Hipblaslt_TN_71830,0.0196909
GemmTunableOp_Half_TN,tn_3584_56_3584,Gemm_Rocblas_621288821,0.0212004
GemmTunableOp_Half_TN,tn_3584_64_18944,Gemm_Hipblaslt_TN_71764,0.0673514
GemmTunableOp_Half_TN,tn_3584_96_18944,Gemm_Hipblaslt_TN_85427,0.0802183
GemmTunableOp_Half_TN,tn_3584_240_18944,Gemm_Hipblaslt_TN_72369,0.15129
GemmTunableOp_Half_TN,tn_4608_112_3584,Gemm_Rocblas_621282641,0.0291232
GemmTunableOp_Half_TN,tn_37888_136_3584,Gemm_Hipblaslt_TN_88124,0.25718
GemmTunableOp_Half_TN,tn_37888_168_3584,Gemm_Hipblaslt_TN_88142,0.284653
GemmTunableOp_Half_TN,tn_4608_40_3584,Gemm_Rocblas_621282600,0.0212056
GemmTunableOp_Half_TN,tn_4608_160_3584,Gemm_Hipblaslt_TN_74372,0.0383399
